EthernetPresent,IPv4Present,UDPPresent,DNSPresent,EthernetSrc,EthernetDst,IPv4Src,IPv4Dst,UDPSrc,UDPDst,IPv4ID,IPv4Length,IPv4TTL,PacketLength,MillisecondsSinceFirstPacket,ICMPv4Present,PayloadPresent,TCPPresent,TCPSrc,TCPDst,TCPFIN,TCPSYN,TCPRST,TCPPSH,TCPACK,TCPURG,TCPECE,TCPCWR,TCPNS,ARPPresent,IPv6Present,DHCPv6Present,IPv6Src,IPv6Dst,IPv6Length
1,1,1,1,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,49527,53,25626,73,128,87,0,,,,,,,,,,,,,,,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,767,101,64,115,0,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,49527,53,25627,73,128,87,1010,,,,,,,,,,,,,,,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,906,101,64,115,1010,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,49527,53,25628,73,128,87,2010,,,,,,,,,,,,,,,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,999,101,64,115,2010,1,1,,,,,,,,,,,,,,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25629,52,128,66,2511,,,1,49162,8080,0,1,0,0,0,0,1,1,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,2511,,,1,8080,49162,0,0,1,0,1,0,0,0,0,,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25630,52,128,66,3009,,,1,49162,8080,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,3010,,,1,8080,49162,0,0,1,0,1,0,0,0,0,,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25631,48,128,62,3510,,,1,49162,8080,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,3510,,,1,8080,49162,0,0,1,0,1,0,0,0,0,,,,,,
1,1,1,1,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,49527,53,25632,73,128,87,4010,,,,,,,,,,,,,,,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,1457,101,64,115,4010,1,1,,,,,,,,,,,,,,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25633,52,128,66,4332,,,1,49163,8080,0,1,0,0,0,0,1,1,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,4332,,,1,8080,49163,0,0,1,0,1,0,0,0,0,,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25634,52,128,66,4838,,,1,49163,8080,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,4838,,,1,8080,49163,0,0,1,0,1,0,0,0,0,,,,,,
1,,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,,,,,,,,42,4994,,,,,,,,,,,,,,,1,,,,,
1,,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,,,,,,,,42,4994,,,,,,,,,,,,,,,1,,,,,
1,,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,,,,,,,,42,5228,,,,,,,,,,,,,,,1,,,,,
1,,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,,,,,,,,42,5228,,,,,,,,,,,,,,,1,,,,,
1,1,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,,,25635,48,128,62,5338,,,1,49163,8080,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,0,40,64,54,5338,,,1,8080,49163,0,0,1,0,1,0,0,0,0,,,,,,
1,1,1,1,00:0c:29:96:f6:b0,00:50:56:c0:00:01,172.16.37.129,172.16.37.1,49527,53,25636,73,128,87,8026,,,,,,,,,,,,,,,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,1774,101,64,115,8026,1,1,,,,,,,,,,,,,,,,,,
1,,,,00:50:56:c0:00:01,ff:ff:ff:ff:ff:ff,,,,,,,,42,42929,,,,,,,,,,,,,,,1,,,,,
1,,,,00:0c:29:96:f6:b0,00:50:56:c0:00:01,,,,,,,,42,42929,,,,,,,,,,,,,,,1,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,60392,44,40,58,43189,,,1,41902,8080,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,54855,44,39,58,43189,,,1,41902,1025,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,7462,44,51,58,43189,,,1,41902,256,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,34595,44,51,58,43189,,,1,41902,587,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,29102,44,39,58,43189,,,1,41902,3306,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,55594,44,44,58,43189,,,1,41902,139,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,35295,44,42,58,43189,,,1,41902,8888,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,64135,44,49,58,43189,,,1,41902,443,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,18276,44,53,58,43189,,,1,41902,5900,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,19249,44,58,58,43189,,,1,41902,143,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,44078,44,45,58,44289,,,1,41903,143,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,46373,44,46,58,44289,,,1,41903,5900,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,18179,44,49,58,44289,,,1,41903,443,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,12096,44,45,58,44289,,,1,41903,8888,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,15855,44,42,58,44289,,,1,41903,139,0,1,0,0,0,0,0,0,0,,,,,,
